Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric",145.800000,-42.750000,90.000000,top
"C2","30u","C_0402_1005Metric",129.900000,-54.600000,0.000000,top
"C3","30u","C_0402_1005Metric",133.100000,-57.250000,270.000000,top
"C4","1u","C_0402_1005Metric",141.000000,-42.750000,90.000000,top
"C5","100n","C_0402_1005Metric",127.750000,-32.150000,0.000000,top
"C6","100n","C_0402_1005Metric",130.600000,-40.100000,90.000000,top
"C7","100n","C_0402_1005Metric",133.450000,-53.300000,270.000000,top
"C8","1u","C_0402_1005Metric",134.850000,-40.700000,90.000000,top
"C9","100n","C_0402_1005Metric",131.650000,-40.700000,90.000000,top
"C10","1u","C_0402_1005Metric",135.900000,-41.700000,90.000000,top
"C11","100n","C_0402_1005Metric",126.600000,-44.000000,180.000000,top
"C12","100n","C_0402_1005Metric",137.100000,-48.400000,0.000000,top
"C13","100n","C_0402_1005Metric",126.500000,-48.400000,180.000000,top
"C14","100n","C_0402_1005Metric",132.420000,-53.300000,270.000000,top
"C15","100n","C_0402_1005Metric",137.100000,-44.450000,0.000000,top
"C16","100n","C_0402_1005Metric",137.100000,-43.400000,0.000000,top
"R1","1k","R_0402_1005Metric",120.700000,-42.650000,270.000000,top
"R2","10k","R_0402_1005Metric",118.000000,-33.750000,0.000000,top
"R3","27","R_0402_1005Metric",132.700000,-40.700000,270.000000,top
"R4","27","R_0402_1005Metric",133.780000,-40.700000,270.000000,top
"R5","1k","R_0402_1005Metric",131.400000,-54.150000,90.000000,top
"R6","5.1k","R_0402_1005Metric",142.150000,-34.050000,180.000000,top
"R7","5.1k","R_0402_1005Metric",146.550000,-34.500000,270.000000,top
"SW19","SW_Push","SW_SPST_Omron_B3FS-100xP",112.900000,-57.050000,90.000000,top
"SW20","SW_Push","SW_SPST_Omron_B3FS-100xP",120.050000,-57.050000,270.000000,top
"U1","TLV73333PDBV","SOT-23-5",143.400000,-42.250000,180.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",124.050000,-35.650000,0.000000,top
"U3","RP2040","RP2040-QFN-56",131.850000,-47.400000,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.000000,-24.500000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",130.750000,-57.250000,270.000000,top
